 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  20.00 MeV   2.354E-01  1.393E-04  217.20 um     8.36 um     5.29 um  
  22.50 MeV   2.156E-01  1.255E-04  264.96 um    10.86 um     6.36 um  
  25.00 MeV   1.992E-01  1.143E-04  316.87 um    13.21 um     7.51 um  
  27.50 MeV   1.854E-01  1.050E-04  372.84 um    15.52 um     8.75 um  
  30.00 MeV   1.735E-01  9.712E-05  432.82 um    17.81 um    10.07 um  
  32.50 MeV   1.633E-01  9.042E-05  496.73 um    20.11 um    11.46 um  
  35.00 MeV   1.543E-01  8.463E-05  564.51 um    22.41 um    12.93 um  
  37.50 MeV   1.463E-01  7.957E-05  636.11 um    24.75 um    14.48 um  
  40.00 MeV   1.392E-01  7.510E-05  711.48 um    27.10 um    16.11 um  
  45.00 MeV   1.271E-01  6.758E-05  873.25 um    35.76 um    19.57 um  
  50.00 MeV   1.171E-01  6.148E-05    1.05 mm    43.91 um    23.33 um  
  55.00 MeV   1.087E-01  5.644E-05    1.24 mm    51.86 um    27.36 um  
  60.00 MeV   1.016E-01  5.219E-05    1.45 mm    59.75 um    31.67 um  
  65.00 MeV   9.542E-02  4.856E-05    1.66 mm    67.65 um    36.25 um  
  70.00 MeV   9.003E-02  4.542E-05    1.90 mm    75.60 um    41.08 um  
  80.00 MeV   8.105E-02  4.027E-05    2.40 mm   104.64 um    51.53 um  
  90.00 MeV   7.387E-02  3.621E-05    2.96 mm   131.70 um    62.98 um  
 100.00 MeV   6.799E-02  3.292E-05    3.56 mm   158.08 um    75.41 um  
 110.00 MeV   6.306E-02  3.019E-05    4.22 mm   184.32 um    88.77 um  
 120.00 MeV   5.888E-02  2.791E-05    4.93 mm   210.65 um   103.06 um  
 130.00 MeV   5.529E-02  2.595E-05    5.68 mm   237.21 um   118.25 um  
 140.00 MeV   5.215E-02  2.426E-05    6.48 mm   264.07 um   134.31 um  
 150.00 MeV   4.940E-02  2.279E-05    7.33 mm   291.28 um   151.24 um  
 160.00 MeV   4.696E-02  2.149E-05    8.22 mm   318.86 um   169.00 um  
 170.00 MeV   4.479E-02  2.034E-05    9.16 mm   346.82 um   187.59 um  
 180.00 MeV   4.283E-02  1.931E-05   10.15 mm   375.15 um   206.99 um  
 200.00 MeV   3.946E-02  1.754E-05   12.24 mm   480.84 um   248.17 um  
 225.00 MeV   3.602E-02  1.576E-05   15.09 mm   631.39 um   303.95 um  
 250.00 MeV   3.321E-02  1.431E-05   18.21 mm   773.33 um   364.30 um  
 275.00 MeV   3.088E-02  1.312E-05   21.57 mm   911.65 um   429.06 um  
 300.00 MeV   2.891E-02  1.212E-05   25.17 mm     1.05 mm   498.03 um  
 325.00 MeV   2.722E-02  1.126E-05   29.00 mm     1.19 mm   571.06 um  
 350.00 MeV   2.576E-02  1.053E-05   33.07 mm     1.32 mm   648.00 um  
 375.00 MeV   2.448E-02  9.881E-06   37.35 mm     1.46 mm   728.71 um  
 400.00 MeV   2.334E-02  9.314E-06   41.86 mm     1.60 mm   813.05 um  
 450.00 MeV   2.143E-02  8.361E-06   51.48 mm     2.11 mm   992.20 um  
 500.00 MeV   1.988E-02  7.591E-06   61.91 mm     2.58 mm     1.18 mm  
 550.00 MeV   1.860E-02  6.955E-06   73.10 mm     3.04 mm     1.39 mm  
 600.00 MeV   1.752E-02  6.421E-06   85.02 mm     3.49 mm     1.60 mm  
 650.00 MeV   1.660E-02  5.965E-06   97.64 mm     3.93 mm     1.83 mm  
 700.00 MeV   1.580E-02  5.572E-06  110.93 mm     4.37 mm     2.07 mm  
 800.00 MeV   1.450E-02  4.928E-06  139.38 mm     5.97 mm     2.57 mm  
 900.00 MeV   1.348E-02  4.421E-06  170.18 mm     7.41 mm     3.10 mm  
   1.00 GeV   1.265E-02  4.012E-06  203.16 mm     8.78 mm     3.67 mm  
   1.10 GeV   1.197E-02  3.675E-06  238.15 mm    10.11 mm     4.26 mm  
   1.20 GeV   1.141E-02  3.391E-06  275.00 mm    11.40 mm     4.87 mm  
   1.30 GeV   1.093E-02  3.149E-06  313.57 mm    12.67 mm     5.51 mm  
   1.40 GeV   1.051E-02  2.941E-06  353.74 mm    13.92 mm     6.16 mm  
   1.50 GeV   1.016E-02  2.759E-06  395.41 mm    15.15 mm     6.83 mm  
   1.60 GeV   9.846E-03  2.600E-06  438.46 mm    16.36 mm     7.51 mm  
   1.70 GeV   9.572E-03  2.458E-06  482.81 mm    17.55 mm     8.20 mm  
   1.80 GeV   9.330E-03  2.331E-06  528.37 mm    18.74 mm     8.91 mm  
   2.00 GeV   8.921E-03  2.114E-06  622.78 mm    23.07 mm    10.34 mm  
   2.25 GeV   8.518E-03  1.896E-06  746.28 mm    29.01 mm    12.18 mm  
   2.50 GeV   8.201E-03  1.719E-06  875.09 mm    34.33 mm    14.04 mm  
   2.75 GeV   7.948E-03  1.574E-06    1.01 m     39.24 mm    15.92 mm  
   3.00 GeV   7.742E-03  1.452E-06    1.15 m     43.86 mm    17.81 mm  
   3.25 GeV   7.573E-03  1.348E-06    1.29 m     48.23 mm    19.70 mm  
   3.50 GeV   7.432E-03  1.258E-06    1.43 m     52.40 mm    21.59 mm  
   3.75 GeV   7.315E-03  1.180E-06    1.58 m     56.39 mm    23.47 mm  
   4.00 GeV   7.215E-03  1.111E-06    1.72 m     60.24 mm    25.33 mm  
   4.50 GeV   7.059E-03  9.961E-07    2.03 m     73.95 mm    29.02 mm  
   5.00 GeV   6.945E-03  9.030E-07    2.33 m     85.91 mm    32.65 mm  
   5.50 GeV   6.861E-03  8.264E-07    2.65 m     96.69 mm    36.19 mm  
   6.00 GeV   6.798E-03  7.620E-07    2.96 m    106.59 mm    39.65 mm  
   6.50 GeV   6.752E-03  7.073E-07    3.28 m    115.79 mm    43.03 mm  
   7.00 GeV   6.719E-03  6.600E-07    3.60 m    124.41 mm    46.32 mm  
   8.00 GeV   6.679E-03  5.828E-07    4.24 m    154.26 mm    52.67 mm  
   9.00 GeV   6.663E-03  5.221E-07    4.89 m    179.41 mm    58.71 mm  
  10.00 GeV   6.663E-03  4.732E-07    5.53 m    201.50 mm    64.46 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  4.2928E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

